Instruction,Response
Quais são os nomes dos colaboradores responsáveis pela criação e diagramação da Carta de Serviços ao Usuário da Universidade Federal do Amazonas?,"A Carta de Serviços ao Usuário da Universidade Federal do Amazonas foi criada e diagramada por Aldinéa de Paula Corrêa e Ana Laura Oliveira Castro Nogueira, com colaboração de Isabelle Nascimento Chaves como estagiária de Design."
Quais são os nomes dos diretores dos departamentos da Pró-Reitoria de Ensino de Graduação da UFAM?,"A Pró-Reitoria de Ensino de Graduação da UFAM é composta pelos diretores dos seguintes departamentos: Departamento de Registro Acadêmico, Izaura Maria da Silva Jardim; Departamento de Legislação e Normas, Caroline de Oliveira Collyer; Departamento de Apoio ao Ensino, João Rakson Angelim da Silva; e Departamento de Programas Acadêmicos, Jane Maria Castro Guidão."
"Por favor, forneça a data de publicação da 2ª edição da Carta de Serviços ao Usuário da Universidade Federal do Amazonas",A 2ª edição da Carta de Serviços ao Usuário da Universidade Federal do Amazonas foi publicada em fevereiro de 2024.
Qual é o nome da Coordenadora de Matrícula da Pró-Reitoria de Ensino de Graduação da Universidade Federal do Amazonas?,O nome da Coordenadora de Matrícula da Pró-Reitoria de Ensino de Graduação da Universidade Federal do Amazonas é Jeane Cristina Lima.
Como encontrar o perfil institucional da Universidade Federal do Amazonas?,"Para encontrar o perfil institucional da Universidade Federal do Amazonas, acesse o arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt e procure pela seção 'Perfil Institucional'. Lá, você encontrará informações detalhadas sobre a instituição, incluindo sua estrutura organizacional, quadro de servidores e informações sobre a missão da universidade."
Onde posso encontrar informações sobre os usuários dos serviços públicos da UFAM?,"Para encontrar informações sobre os usuários dos serviços públicos da UFAM, acesse o arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt e procure pela seção 'Usuários dos serviços públicos'. Lá, você encontrará dados sobre a população atendida pela universidade, bem como os principais serviços oferecidos e sua abrangência."
Como obter informações sobre a Carta de Serviços ao Usuário?,"Para obter informações sobre a Carta de Serviços ao Usuário da Universidade Federal do Amazonas, você pode acessar o arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt1, disponível no site da universidade, ou entrar em contato com a Pró-Reitoria de Ensino de Graduação através dos canais de atendimento informados no site."
Posso solicitar atendimento presencial para resolver questões relacionadas à graduação na UFAM?,"Sim, você pode solicitar atendimento presencial na Pró-Reitoria de Ensino de Graduação da UFAM para resolver questões relacionadas à graduação. Para isso, basta comparecer ao local de atendimento durante o horário de funcionamento e apresentar sua demanda aos atendentes. É importante lembrar que alguns serviços podem ser realizados de forma online, através do site da universidade."
"Para acessar a Carta de Serviços ao Usuário da Universidade Federal do Amazonas (UFAM), siga as instruções abaixo:","1. Acesse o site oficial da UFAM: www.ufam.edu.br 2. Na página inicial, localize a opção 'Pró-Reitoria de Ensino de Graduação' no menu principal 3. Clique na opção 'Carta de Serviços ao Usuário' 4. Será aberta uma página com a 2ª edição da Carta de Serviços, datada de fevereiro de 2024 5. Para visualizar a carta, basta clicar no link disponível."
Qual é o nome do Pró-Reitor?,O nome do Pró-Reitor é David Lopes Neto.
Quem é a Coordenadora de Orientação Acadêmica?,A Coordenadora de Orientação Acadêmica é Déia da Silva Trindade.
O que é a Pró-Reitoria de Ensino de Graduação?,A Pró-Reitoria de Ensino de Graduação é uma unidade de administração da Universidade Federal do Amazonas (UFAM) responsável pela gestão e coordenação das atividades acadêmicas de graduação.
O que é o Perfil Institucional da UFAM?,"O Perfil Institucional da UFAM é uma descrição detalhada sobre a missão, visão, valores e objetivos da Universidade Federal do Amazonas (UFAM), que busca promover uma educação de qualidade, formando cidadãos críticos e comprometidos com a sociedade."
Quais são os principais cargos e responsáveis pela administração da Pró-Reitoria de Ensino de Graduação da Universidade Federal do Amazonas (UFAM)?,"Os principais cargos e responsáveis pela administração da Pró-Reitoria de Ensino de Graduação da Universidade Federal do Amazonas (UFAM) são: Pró-Reitor, Pró-Reitora Adjunta, Procuradora Educacional Institucional (PEI), Secretária da Pró-Reitoria, Diretores dos Departamentos, Coordenadores de Orientação Acadêmica, Matrícula, Registro e Controle, Registro de Diploma e Apoio ao Usuário do Sistema Acadêmico, além da Comissão Permanente de Gestão do Acervo Acadêmico."
O que é a Carta de Serviços ao Usuário da UFAM?,"A Carta de Serviços ao Usuário é um documento elaborado pela Universidade Federal do Amazonas (UFAM) que tem como objetivo informar os usuários sobre os serviços disponibilizados pela instituição e seus respectivos prazos, além de garantir a transparência e a qualidade no atendimento aos usuários."
Quais são os órgãos responsáveis pela coordenação e execução da Carta de Serviços ao Usuário da UFAM?,"A Carta de Serviços ao Usuário da UFAM é coordenada e executada pela Pró-Reitoria de Ensino de Graduação, tendo como responsáveis o Pró-Reitor, a Pró-Reitora Adjunta, a Procuradora Educacional Institucional e os Diretores e Coordenadores dos Departamentos e Comissões envolvidos."
"Para encontrar o Perfil Institucional da Universidade Federal do Amazonas (UFAM), você deve seguir os seguintes passos:","1. Acesse o site da UFAM no endereço <http://www.ufam.edu.br/>. 2. No menu superior, passe o mouse sobre a opção 'Pró-Reitorias' e, em seguida, clique em 'Ensino de Graduação'. 3. Na página principal da Pró-Reitoria de Ensino de Graduação, role a página até o final e clique no link 'Perfil Institucional'. 4. Você será redirecionado para uma nova página com informações detalhadas sobre o perfil da UFAM."
Qual é o nome completo da Pró-Reitora Adjunta?,Vanessa Klisia de Aguiar Gonçalves Ferreira
Qual é o nome da Coordenadora de Registro e Controle da Pró-Reitoria de Ensino de Graduação da UFAM?,Adriana Andrade Cabral
Você deseja saber quem são os usuários dos serviços públicos da UFAM?,"Os usuários dos serviços públicos da UFAM são os estudantes, docentes, técnicos administrativos e a comunidade acadêmica em geral."
O que é a Pró-Reitoria de Ensino de Graduação da UFAM?,A Pró-Reitoria de Ensino de Graduação da UFAM é uma unidade administrativa responsável por coordenar e supervisionar as atividades acadêmicas dos cursos de graduação oferecidos pela Universidade Federal do Amazonas.
O que é a Carta de Serviços ao Usuário?,"A Carta de Serviços ao Usuário é um documento elaborado pela Universidade Federal do Amazonas (UFAM) que tem como objetivo informar aos usuários dos serviços públicos da instituição sobre os seus direitos e deveres, além de apresentar o perfil institucional, a missão e os colaboradores responsáveis por cada setor."
O que é a Carta de Serviços ao Usuário?,"A Carta de Serviços ao Usuário é um documento elaborado pela Universidade Federal do Amazonas (UFAM) que tem como objetivo informar os usuários sobre os serviços públicos oferecidos pela instituição, bem como seus direitos e deveres como cidadãos."
Quem são os responsáveis pela gestão da Carta de Serviços ao Usuário?,"A Carta de Serviços ao Usuário é gerenciada pela Pró-Reitoria de Ensino de Graduação da UFAM, sob a coordenação de Aldinéa de Paula Corrêa. Além disso, há uma comissão permanente de gestão do acervo acadêmico, composta por Solange Huber dos Santos, que também é responsável pela gestão da Carta de Serviços ao Usuário."
